ID,Tool
33617,Broca SDS-PLUS 14x250mm
23822,Serrote de ferro(Serra)
71095,Bocal Cónico MIG/MAG KEMPPI
29347,Ponteira Isolada 10mm
71099,"Bico contacto M10*1,4mm MIG KEMPPI"
31818,"Jogo bits sextavado 1/4"""
26703,Carrapeta TIG Pequena WP 17/18/26 57Y04
22661,"Chave de Impacto 1/2"" 14 mm"
19023,Bota PVC Biq. e Palm. Aço Tam. 44
30085,Saca Rolamentos 2 Pernas pequeno
23121,"Redução Impacto 3/4"" - 1"" ( Aumento)"
7983,"Chave de Impacto 1"" 24 mm"
7966,"Chave de Impacto 1"" 80 mm"
8012,"Chave de Impacto 3/4"" 17 mm"
30087,Saca Rolamentos 2 Pernas grande
24910,Alcaiata fêmea M8 (Olhal de Suspensão)
30089,Saca Rolamentos 3 Pernas médio
23543,Folha de Lixa G150
32251,Painel de Vedação 350x190 em malha c bloco cimento
19444,Bico contacto M8*2.0mm MIG
23307,Nivelador de Flanges (conjunto)
22662,"Chave de Impacto 1/2"" 15 mm"
25320,Isolador frontal 18CG (Vedante)
5367,.
7979,"Chave de Impacto 1"" 32 mm"
27779,Fresa WELDON HSS 18x30mm
52019,Spray Tinta Acrílica
22659,"Chave de Impacto 1/2"" 12 mm"
27764,Fresa WELDON HSS 12x30mm
30286,Porta-identificação de fio 0.6-1.2mm²
22872,"Chave de Impacto Longa 3/4"" 19 mm"
23612,Disco Ø 125 * 7mm - NÃO USAR ESTE CÓDIGO
23575,Nível 1000 mm
74529,"Conjunto de chaves pancada bocas - 50, 55, 60, 65, 70, 75mm"
22667,"Chave de Impacto 1/2"" 20 mm"
77427,"Manilhas de 3/8"""
16819,Marreta Anti-Chispa 2kg
23482,Chave de Estrelas Philips PH1 80x185 (pequenas)
15852,Bico corte oxi-acetileno 12/10 G1-A
29431,"Encaixe Rápido Árgon, Macho 6mm"
24701,Isqueiro para Maçarico
31280,Broca SDS-PLUS 16x250mm
22512,Chave de Pancada Boca 85
24629,Pedra/ Mó Montada Cilíndrica Grande para Rebolo
74530,"Conjunto de chaves pancada luneta - 50, 55, 60, 65, 70, 75mm"
23560,Régua de Alumínio 3 Mt
26655,Jogo Saca Pernos - Machos Esquerdos
34883,Ficha tripla Fêmea Schuko borracha 2P+T
22668,"Chave de Impacto 1/2"" 21 mm"
31279,Broca SDS-PLUS 18x250mm
23815,Vareta TIG Inox ER316L 2.0mm
22665,"Chave de Impacto 1/2"" 18 mm"
38318,Expulsor/ Centrador para fresas 30m(Piloto)
30079,Canga grande (450-600)
