MOVEMENTID,ToolID,Tool,TotalVolume
76922,19492,Disco Ø 125 * 1mm,150.00
76922,28107,Extensão Tripla 220V,1.00
76922,22547,Chave de Boca-Luneta 30,2.00
76922,39231,Alicate de Soldar completo,2.00
76922,23560,Régua de Alumínio 3 Mt,2.00
76922,82980,Tocha de plasma (Lincoln),1.00
76922,22929,"Trincha Júnior 1""",2.00
76922,66549,Caixa de Ferramenta Mecânico,1.00
76922,23769,Copos água (Manga de 100 Copos),1.00
76922,89317,Retificadora diam. 125 mm,1.00
76922,23768,Garrafão água 18.9L,12.00
76922,90304,Projetor Led,1.00
76922,23817,Vareta TIG Inox ER316L 1.6mm,10.00
76922,91640,"Jogo de Chaves de Caixa Longas 1/2""",1.00
76922,23816,Vareta TIG Inox ER316L 2.4mm,10.00
76922,90603,Extensão Tripla 220V,1.00
76922,26436,Toldo de 20 a 40m2,4.00
76922,96963,Carro duplo de transporte de gás,1.00
76922,24484,Elétrodo Tungsténio 2.4mm,20.00
76922,95169,Mangueira Argon Encaixe M/F,14.00
76922,26715,Pincel para Ácido,1.00
76922,100329,"Aparafusadora de impacto a bateria 1/2""",1.00
76922,24587,Lamela para Rebolo G60 60mm,25.00
76922,95403,Mangueira Argon Purga Encaixe M,2.00
76922,74609,"Jogo de Chaves de Caixa 1/2"" com roquete",1.00
76922,119190,Caixa de Ferramenta Mecânico,1.00
76922,26563,Fita de Papel (Larga - 50mm),12.00
76922,105000,Retificadora diam. 230 mm,1.00
76922,75833,Rebolo (retificadora direta),1.00
76922,119798,Caixa de Ferramenta Serralheiro,1.00
76922,39230,Alicate de Massa Completo,1.00
76922,105546,Kit de filme de purga de solda,2.00
76922,83307,Projetor LED,1.00
76922,121494,Extensão Tripla 230V,1.00
76922,50724,Diferencial de 1 Ton,1.00
76922,118113,Retificadora diam. 125 mm,1.00
76922,83310,Projetor LED,1.00
76922,124341,Extensão Tripla 230V,1.00
76922,58182,Retificadora diam. 125 mm,1.00
76922,119106,Máquina de corte a plasma,1.00
76922,89348,Rebolo (Retificadora direta),1.00
76922,127169,Cinta Plana 2 Ton 2 Metros,1.00
76922,68269,Tocha TIG (ESAB),1.00
76922,121914,Baú de Arrumação,1.00
76922,90643,Retificadora diam. 125 mm,1.00
76922,131417,Caixa de Ferramenta Serralheiro,1.00
76922,73847,Extintor Pó-Químico ABC,1.00
76922,121953,Retificadora diam. 125 mm,1.00
76922,90723,Aparelho de soldar TIG,1.00
76922,133310,Baú de Arrumação,1.00
76922,76690,"Jogo de Chaves de Caixa 1/2"" com roquete",1.00
76922,133317,Baú de Arrumação,1.00
76922,91665,"Garra apanha tubos 6"" - 14""",1.00
76922,133316,Baú de Arrumação,1.00
76922,83306,Projetor LED,1.00
76922,133442,Chicote CEE - Schuko Triplo,1.00
76922,101326,"Aparafusadora de impacto a bateria 1/2""",1.00
76922,133465,Chicote CEE - Schuko Triplo,1.00
76922,90931,Extintor Pó-Químico ABC,1.00
76922,134721,Extensão Tripla 230V,1.00
76922,104272,Rebolo (Retificadora direta),1.00
76922,90941,"Jogo de Chaves de Caixa 1/2"" com roquete",1.00
76922,107196,Aparelho de soldar TIG,1.00
76922,91641,"Jogo de Chaves de Caixa Longas 1/2""",1.00
76922,122163,Extensão Tripla 230V,1.00
76922,105285,Tocha TIG (ESAB),1.00
