ID,NAME,SUBFAMILYID
2679,Bomba Hidráulica duplo efeito 700bar,633
2680,Bomba Hidráulica 700 bar,876
2681,Bomba Hidráulica 700 bar,876
2682,Cilindro Hidráulico 10 Ton,591
2683,Cilindro Hidráulico compacto 11 Ton,589
2684,Cilindro Hidráulico,591
2687,Cilindro Hidráulico furado 60T,689
2688,Diferencial de 5 Ton,952
2689,Diferencial de 5 Ton,952
2690,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2691,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2692,Retificadora diam. 125 mm,863
2693,Diferencial de 3 Ton,951
2694,Diferencial de 2 Ton,950
2695,Diferencial de 2 Ton,950
2696,Diferencial de 1 Ton,948
2697,Diferencial de 1 Ton,948
2698,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2699,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2700,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2701,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão),944
2705,Retificadora diam. 125 mm,863
2706,Retificadora diam. 125 mm,863
2707,Retificadora diam. 125 mm,863
2708,Retificadora a bateria diam. 125 mm,863
2709,Chicote CEE - Schuko Triplo,956
2711,Extensão 32 Amp. 5 Pinos,657
2712,Chicote CEE - Schuko Triplo,956
2713,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2714,Chicote Schuko - Schuko Triplo,960
2715,Chicote CEE - Schuko Triplo - Perdido Contentor 29,956
2716,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2717,Extensão 32 Amp. 4 Pinos,657
2718,Extensão 32 Amp. 4 Pinos,657
2720,Extensão 32 Amp. 4 Pinos,657
2721,Extensão 32 Amp. 4 Pinos,657
2722,Extensão 32 Amp. 4 pinos,657
2723,Extensão 32 Amp. 4 Pinos,657
2724,Extensão 32 Amp. 4 Pinos,657
2725,Extensão 32 Amp. 4 Pinos,657
2726,Berbequim de ferro,669
2727,Extensão Tripla 220V,660
2728,Extensão Tripla 220V,660
2729,Extensão Tripla 220V,660
2730,Extensão Tripla 220V,660
2732,Extensão Tripla 220V,660
2733,Extensão Tripla 220V,660
2734,Extensão Tripla 220V,660
2735,Aparelho de soldar,527
2737,Aparelho de soldar,527
2738,Serra-Sabre,884
2739,Cilindro Hidráulico 16 Ton,591
2740,Cilindro Hidráulico 10 Ton,591
2741,Cilindro Hidráulico 16 Ton,591
2742,Cilindro Hidráulico 16 Ton,591
2743,Cilindro Hidráulico 16 Ton - Perdido Contentor 30,591
2744,Cilindro Hidráulico 16 Ton,591
2746,Cilindro Hidráulico furado 30 Ton,689
2747,Retificadora a bateria diam. 125 mm,863
2748,Aparelho de soldar semi-automático,762
2749,Aparelho de soldar,527
2750,Macaco de Cremalheira 5 Ton,754
2751,Macaco de Cremalheira 5 Ton,754
2752,Macaco de Cremalheira 5 Ton,754
2753,Macaco de Cremalheira 3 Ton,754
2754,Rebolo (Retificadora direta),843
2755,Rebolo (retificadora direta),843
2756,Retificadora diam. 125 mm,863
2757,Retificadora diam. 125 mm,863
2758,Projetor LED a bateria,801
2759,Retificadora a bateria diam. 125 mm,863
2760,"Aparafusadora de Impacto a bateria 3/4""",940
2761,"Aparafusadora de impacto a bateria 1/2""",940
2762,"Aparafusadora de impacto a bateria 1/2""- BITALDE",940
2763,Mangueira de Oxicorte,770
2767,Mangueira de Oxicorte,770
2769,Extensão Tripla 220V,660
2770,Extensão Tripla 220V,660
2771,Aparelho de soldar,527
2772,Extensão Tripla 220V,660
2773,Extensão Tripla 220V,660
2774,Extensão Tripla 220V,660
2775,Extensão Tripla 220V,660
2776,Extensão Tripla 220V,660
2777,Extensão Tripla 220V,660
2778,Extensão Tripla 220V,660
2779,Extensão Tripla 220V,660
2780,Extensão Tripla 220V,660
2781,Extensão Tripla 220V,660
2782,Extensão Tripla 220V,660
2783,Extensão Tripla 220V,660
2784,Extensão Tripla 220V,660
2785,Extensão Tripla 220V,660
2786,Extensão Tripla 220V,660
2787,Bomba Hidráulica 700 bar,876
2788,Extensão Tripla 220V,660
2789,Extensão Tripla 220V,660
2790,Extensão Tripla 220V,660
2791,Berbequim a bateria,538
2792,Extensão CEE - Schuko Simples,584
2793,Extensão CEE - Schuko Simples,584
2794,Extensão CEE - Schuko Simples,584
2795,Extensão CEE - Schuko Simples,584
2796,Extensão 32 Amp 5 P - 32 Amp 4P,584
2797,Extensão CEE - Schuko Simples,584
2798,Extensão Tripla 220V,660
2799,Extensão CEE - Schuko Triplo,584
2800,Extensão CEE - Schuko Triplo,584
2801,Extensão CEE - Schuko Triplo,584
2802,Extensão CEE - Schuko Triplo,584
2803,Extensão CEE - Schuko Triplo,584
2804,Extensão Tripla 220V,584
2805,Chicote CEE - Schuko Triplo,956
2807,Chicote CEE - Schuko Simples,956
2813,Tirfor 1600 Kg (guincho manual de cabo passante),908
2814,Tirfor 1600 Kg (guincho manual de cabo passante),908
2815,Tirfor 1600 Kg (guincho manual de cabo passante),908
2816,Guincho Eléctrico 500 kg,699
2817,Aparelho de soldar,527
2818,Chicote CEE - Schuko Triplo,956
2821,Chicote CEE - Schuko Triplo,956
2822,Chicote CEE - Schuko Triplo,956
2823,Chicote CEE - Schuko Triplo,956
2824,Chicote CEE - Schuko Triplo,956
2825,Chicote CEE - Schuko Triplo,956
2826,Chicote CEE - Schuko Triplo,956
2827,Chicote CEE - Schuko Triplo,956
2828,Chicote CEE - Schuko Triplo,956
2829,Chicote CEE - Schuko Triplo,956
2830,Chicote CEE - Schuko Simples,956
2831,Chicote CEE - Schuko Simples,956
2832,Chicote CEE - Schuko Triplo,956
2833,Chicote CEE - Schuko Simples,956
2834,Chicote CEE - Schuko Simples,956
2835,Chicote CEE - Schuko Simples,956
2836,Chicote CEE - Schuko Simples,956
2837,Chicote CEE - Schuko Simples,956
2838,Chicote CEE - Schuko Simples,956
2839,Chicote CEE - Schuko Simples,956
2840,Chicote CEE - Schuko Simples,956
2841,Chicote CEE - Schuko Triplo,956
2842,Chicote CEE - Schuko Simples,956
2843,Chicote CEE - Schuko Simples,956
2844,Chicote CEE - Schuko Triplo,956
2845,Bomba Hidráulica 700 bar,876
2846,Máquina Hidráulica de virar tubo,784
2847,Rebolo (Retificadora direta),843
2848,Rebolo (retificadora direta),843
2849,Rebolo (retificadora direta),843
2850,Projetor LED a bateria,801
2851,"Diferencial de 1,5 Ton",949
2852,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2853,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2854,"Diferencial de 1,5 Ton",949
2855,Diferencial de 2 Ton,950
2856,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2857,Retificadora diam. 230 mm,866
2858,"Diferencial de 0,5 Ton",947
2859,Diferencial de 2 Ton,950
2861,Diferencial de 3 Ton,951
2862,Diferencial de 2 Ton,950
2863,Diferencial de 3 Ton,951
2864,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão) - Gonçalo Dias",946
